Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.81856155,12.62081718,14.12674332,13.24220181,..,..
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,60.18867111,65.70602417,69.99860382,65.80603027,..,..
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.60012823,0.64313394,0.54922014,1.08443093,..,..
Afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3.05628788,3.34826009,2.72140895,5.38899046,..,..
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,75.97433472,75.48404694,76.319664,79.39915466,..,..
Afghanistan,AFG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,45.72794863,49.59757036,53.42270666,52.24943995,..,..
Afghanistan,AFG,Urban population,SP.URB.TOTL,8852834,9164768,9476982,9797274,10131490,10482295
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.91601658,5.01263571,5.23207188,..,..,..
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,202.01332092,226.28067017,274.91409302,..,..,..
Albania,ALB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.80370522,2.67507172,2.82499456,..,..,..
Albania,ALB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,115.21235199,120.75823508,148.4365691,..,..,..
Albania,ALB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,41.76972198,44.57441711,44.65778351,..,..,..
Albania,ALB,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,84.38040584,100.86330057,122.77054171,..,..,..
Albania,ALB,Urban population,SP.URB.TOTL,1680247,1706345,1728969,1747593,1762645,1770478
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.60749578,6.27938414,6.16302586,6.24337101,..,..
Algeria,DZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,260.76126099,258.06396484,256.00946045,248.20587158,..,..
Algeria,DZA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.4724493,4.14140797,4.05819511,4.05817795,..,..
Algeria,DZA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,176.50280955,170.19951188,168.57567796,161.33328493,..,..
Algeria,DZA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,32.2923851,34.01862335,34.1256218,34.95557785,..,..
Algeria,DZA,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,84.20603642,87.78980393,87.36482634,86.76178998,..,..
Algeria,DZA,Urban population,SP.URB.TOTL,28977623,29821728,30670076,31510100,32332690,33132753
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..
